slug,brand_slug,model,manufacturer_sku,status,released_date,image_url,datasheet_url,product_url,usable_capacity_kwh,total_capacity_kwh,continuous_power_kw,peak_power_kw,max_charge_rate_kw,chemistry,ac_coupled,backup_type,scalable,roundtrip_efficiency_pct,depth_of_discharge_pct,warranty_years,warranty_cycles,warranty_throughput_kwh,weight_kg,indoor_rated,outdoor_rated,ip_rating,operating_temp_min_c,operating_temp_max_c,price_nl,price_fr,price_us,price_note,available_nl,available_fr,available_us,notes
tesla-powerwall-3,tesla,Powerwall 3,,available,2024-01-01,,,https://www.tesla.com/powerwall,13.5,,11.5,30,5,LFP,true,whole_home,true,89,100,10,,,124,true,true,IP67,-20,50,,,9500,base unit ex. installation,true,true,true,
sonnen-eco-10,sonnen,eco 10,,available,2020-01-01,,,https://sonnengroup.com/sonnenbatterie/,10,,7,12,7,LFP,true,whole_home,true,81.6,90,10,10000,,282,true,false,IP34,5,45,,,,,true,true,true,
enphase-iq-battery-5p,enphase-energy,IQ Battery 5P,IQ10T,available,2023-08-01,,,https://enphase.com/store/batteries,5,,3.84,7.68,3.84,LFP,true,essential_circuits,true,90,100,15,6000,,79,true,true,IP55,-20,50,,,7500,per unit ex. installation,true,true,true,
lg-resu16h-prime,lg-energy-solution,RESU16H Prime,RESU16H-R2,available,2021-09-01,,,https://www.lghomebattery.com,16,,7,11,,NMC,false,whole_home,true,95,100,10,10000,54000,159,true,true,IP55,-20,50,,,,,true,true,true,Backup capability requires compatible hybrid inverter (SolarEdge / SMA / Fronius)
byd-battery-box-premium-hvs-13-8,byd,Battery-Box Premium HVS 13.8,BYD-BBOXPREMHVS13.8,available,2020-10-01,,,https://www.bydbatterybox.com,13.8,,12.8,19.2,,LFP,false,whole_home,true,96,100,10,,,205,true,true,IP55,-10,50,5000,5000,,base unit ex. installation,true,true,false,Backup capability requires compatible hybrid inverter. Only sold in EU markets.
